title,author,viaf_url,country,date_banned,source,note
Confessions,"Rousseau, Jean-Jacques",http://viaf.org/viaf/100184045,USA,1929,https://archive.org/details/literaturesuppre00sova_0/page/28/mode/2up,Customs banned it for one year
Droll Stories,"Balzac, Honoré de",http://viaf.org/viaf/29529595,USA,1885,https://archive.org/details/literaturesuppre00sova_0/page/40/mode/2up,
Janet March: A Novel,"Dell, Floyd",http://viaf.org/viaf/50019305,USA,1923,https://archive.org/details/literaturesuppre00sova_0/page/84/mode/2up,Banned in Boston due to depiction of abortion
"The History of Tom Jones, a Foundling","Fielding, Henry",http://viaf.org/viaf/61545697,USA,1894,https://archive.org/details/literaturesuppre00sova_0/page/78/mode/2up,Suppressed and removed from shelves
Lolita,"Nabokov, Vladimir",http://viaf.org/viaf/27069388,England,1955,https://archive.org/details/literaturesuppre00sova_0/page/110/mode/2up,
Lolita,"Nabokov, Vladimir",http://viaf.org/viaf/27069388,France,1955,https://archive.org/details/literaturesuppre00sova_0/page/108/mode/2up,
The Merry Muses of Caledonia,"Burns, Robert",http://viaf.org/viaf/32012434,England,,https://archive.org/details/literaturesuppre00sova_0/page/128/mode/2up,Made available only in 1959
Pamela,"Richardson, Samuel",http://viaf.org/viaf/41845728,USA,1904,https://archive.org/details/literaturesuppre00sova_0/page/142/mode/2up,Supressed
Replenishing Jessica,"Bodenheim, Maxwell",http://viaf.org/viaf/77516039,USA,1928,https://archive.org/details/literaturesuppre00sova_0/page/160/mode/2up,
Ten North Frederick,"O'Hara, John",http://viaf.org/viaf/12429524,USA,1956,https://archive.org/details/literaturesuppre00sova_0/page/184/mode/2up,
Trilby,"Du Maurier, George",http://viaf.org/viaf/10144,USA,1894,https://archive.org/details/literaturesuppre00sova_0/page/200/mode/2up,
Manhattan Transfer,"Dos Passos, John",http://viaf.org/viaf/41839211,USA,1934,https://sites.nd.edu/rbsc/banned-books-week-miscellany/,
1919,"Dos Passos, John",http://viaf.org/viaf/41839211,USA,1938,https://doi.org/10.25364/27.2:2022.2.6,
Dubliners,"Joyce, James",http://viaf.org/viaf/44300643,England,1906,https://doi.org/10.4000/lisa.5466,Delayed publication due to 'indecent' language
Never Love a Stranger,"Robbins, Harold",http://viaf.org/viaf/100259954,USA,1948,https://timesmachine.nytimes.com/timesmachine/1948/05/25/85257601.html?pageNumber=25,Philadelphia Book Raids
House of Gold,"O'Flaherty, Liam",http://viaf.org/viaf/110057173,Ireland,1929,https://www.irishtimes.com/news/state-s-first-banned-book-to-be-published-for-first-time-in-80-years-1.1425131,Suppressed by the Irish Censorship of Publications Board
The Bulpington of Blup,"Wells, H. G.",http://viaf.org/viaf/97006424,Ireland,1937,https://trove.nla.gov.au/newspaper/article/231085536?searchTerm=%22h.%20g.%20wells%22%20banned%20%20%20%20%20%20%20%20%20%20%20%20&searchLimits=,
Brave New World,"Huxley, Aldous",http://viaf.org/viaf/71392434,Ireland,1932,https://archive.org/details/literaturesuppre0000sova_k0j9/page/66/mode/2up?q=huxley,
"The Work, Wealth and Happiness of Mankind","Wells, H. G.",http://viaf.org/viaf/97006424,Ireland,1937,https://trove.nla.gov.au/newspaper/article/231085536?searchTerm=%22h.%20g.%20wells%22%20banned%20%20%20%20%20%20%20%20%20%20%20%20&searchLimits=,
The Martyr,"O'Flaherty, Liam",http://viaf.org/viaf/110057173,Ireland,1937,https://trove.nla.gov.au/newspaper/article/231085536?searchTerm=%22h.%20g.%20wells%22%20banned%20%20%20%20%20%20%20%20%20%20%20%20&searchLimits=,
Boy,"Hanley, James",http://viaf.org/viaf/310653538,England,1934,https://archive.org/details/literaturesuppre00sova_0/page/12/mode/2up,Seized and prosecuted
The Complete Works of Geoffrey Chaucer,"Chaucer, Geoffrey",http://viaf.org/viaf/100185203,USA,1873,https://onlinebooks.library.upenn.edu/banned-books.html,Comstock Act
Can Such Things Be?,"Bierce, Ambrose Gwinnett",http://viaf.org/viaf/232144783035948358100,USA,1918,https://onlinebooks.library.upenn.edu/banned-books.html,US War Department told the American Library Association to remove
Appointment in Samarra,"O'Hara, John",http://viaf.org/viaf/12429524,USA,1941,https://archive.org/details/literaturesuppre0000sova_k0j9/page/32/mode/2up,Declared as 'not mailable'
The Autobiography of Benjamin Franklin,"Franklin, Benjamin",http://viaf.org/viaf/56609913,USA,1957,https://archive.org/details/literaturesuppre0000sova_k0j9/page/34/mode/2up,Roth v United States
Dracula,"Stoker, Bram",http://viaf.org/viaf/17229847,England,1897,https://archive.org/details/literaturesuppre0000sova_k0j9/page/118/mode/2up,Not banned but deemed as offensive
Gargantua,"Rabelais, François",http://viaf.org/viaf/172635016,USA,1927,https://archive.org/details/literaturesuppre0000sova_k0j9/page/152/mode/2up,Import banned until 1930
Gone with the Wind,"Mitchell, Margaret",http://viaf.org/viaf/27068921,USA,1936,https://archive.org/details/literaturesuppre0000sova_k0j9/page/166/mode/2up,John Summer and the New York Society for the Suppression of Vice objected its publication
Of Mice and Men,"Steinbeck, John",http://viaf.org/viaf/96992551,Ireland,1953,https://archive.org/details/literaturesuppre0000sova_k0j9/page/238/mode/2up,
Of Time and the River: A Legend of Man's Hunger in His Youth,"Wolfe, Thomas",http://viaf.org/viaf/54155795,USA,1935,https://archive.org/details/literaturesuppre0000sova_k0j9/page/242/mode/2up,Not banned but suppressed
Marriage and Morals,"Russell, Bertrand",http://viaf.org/viaf/36924137,USA,1940,https://en.wikipedia.org/wiki/The_Bertrand_Russell_Case,Kay v. Board of Higher Ed. of City of New York
On Education,"Russell, Bertrand",http://viaf.org/viaf/36924137,USA,1940,https://en.wikipedia.org/wiki/The_Bertrand_Russell_Case,Kay v. Board of Higher Ed. of City of New York
What I Believe,"Russell, Bertrand",http://viaf.org/viaf/36924137,USA,1940,https://en.wikipedia.org/wiki/The_Bertrand_Russell_Case,Kay v. Board of Higher Ed. of City of New York
Education and the Modern World,"Russell, Bertrand",http://viaf.org/viaf/36924137,USA,1940,https://en.wikipedia.org/wiki/The_Bertrand_Russell_Case,Kay v. Board of Higher Ed. of City of New York
Anthony Adverse,"Allen, Hervey",http://viaf.org/viaf/56742955,Ireland,1933,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
And Quiet Flows the Don,"Sholokhov, Mikhail",http://viaf.org/viaf/94750009,Ireland,1939,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Amok: A Story,"Zweig, Stefan",http://viaf.org/viaf/19685936,Ireland,1931,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
American Earth,"Caldwell, Erskine Preston",http://viaf.org/viaf/46758305,Ireland,1931,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
"Cakes and Ale, or, the Skeleton in the Cupboard","Maugham, W. Somerset",http://viaf.org/viaf/66470937,Ireland,1930,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Chéri,"Colette, Sidonie-Gabrielle",http://viaf.org/viaf/68937443,Ireland,1920,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Common Sense and the Child,"Mannin, Ethel",http://viaf.org/viaf/109549388,Ireland,1931,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Eve's Doctor,"Toksvig, Signe",http://viaf.org/viaf/92737011,Ireland,1937,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Green Lion,"Hackett, Francis",http://viaf.org/viaf/76409292,Ireland,1936,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Honourable Estate: A Novel of Transition,"Brittain, Vera",http://viaf.org/viaf/17265870,Ireland,1936,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Little Essays of Love or Virtue,"Ellis, Havelock",http://viaf.org/viaf/41861098,Ireland,1922,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
